id,name,gender,age,distance_km,duration_min,current_mode,has_car,has_bike,has_license,comfort_pref,cost_pref,env_pref,punctuality_pref,created_at
1,Maya Trabelsi,F,24,28.67,107,Scooter,0,0,1,0.92,0.51,0.22,0.86,2025-12-06
2,Raja Jabari,F,21,22.27,71,Train,1,0,1,0.6,0.83,0.98,0.46,2025-12-06
3,Leila Kallel,M,30,16.85,52,Car,0,0,0,0.94,0.28,0.75,0.75,2025-12-06
4,Sami Haddad,M,28,18.55,53,Car,1,0,1,0.83,0.94,0.56,0.29,2025-12-06
5,Karim Trabelsi,F,25,12.88,33,Car,0,1,0,0.67,0.87,0.18,0.79,2025-12-06
6,Maya Jabari,F,30,7.81,29,Bus,0,0,0,0.58,0.16,0.05,0.11,2025-12-06
7,Ines Trabelsi,F,22,11.0,40,Train,0,0,1,0.35,0.79,0.32,0.36,2025-12-06
8,Salah Mansour,F,24,22.86,91,Bike,1,1,1,0.16,0.57,0.75,0.98,2025-12-06
9,Raja BenBey,F,27,0.92,3,Scooter,0,1,0,0.6,0.57,0.27,0.79,2025-12-06
10,Ali Kallel,F,20,3.92,13,Bike,0,0,0,0.32,0.39,0.54,0.5,2025-12-06
11,Sami Fakhfakh,M,24,1.86,6,Bus,0,0,1,0.87,0.5,0.73,0.34,2025-12-06
12,Salah BenBey,F,28,1.7,6,Scooter,1,0,1,0.99,0.4,0.11,0.87,2025-12-06
13,Ines Kallel,F,28,25.74,97,Car,0,0,1,0.75,0.54,0.69,0.54,2025-12-06
14,Karim Kchouk,M,25,21.26,61,Walk,1,1,1,0.09,0.63,0.09,0.76,2025-12-06
15,Karim Fakhfakh,F,22,14.49,46,Bus,0,0,0,0.29,0.67,0.97,0.75,2025-12-06
16,Nora Kallel,M,21,3.39,9,Bus,0,0,1,0.11,0.53,0.49,0.02,2025-12-06
17,Youssef Said,M,25,15.0,58,Train,0,0,1,0.65,0.72,0.15,0.13,2025-12-06
18,Leila BenBey,F,25,14.47,49,Bike,0,0,0,0.77,0.14,0.34,0.66,2025-12-06
19,Safa Haddad,F,20,5.61,15,Bus,1,1,1,0.93,0.21,0.41,0.16,2025-12-06
20,Karim Mansour,F,23,13.3,46,Bus,0,1,1,0.44,0.82,0.76,0.26,2025-12-06
21,Omar Bouaziz,F,22,12.26,42,Car,0,0,0,0.9,0.32,0.74,0.95,2025-12-06
22,Mouna Kallel,F,19,18.67,56,Car,1,0,1,0.88,0.02,0.61,0.56,2025-12-06
23,Safa Zidi,M,25,19.24,51,Scooter,0,0,1,0.32,0.15,0.11,0.75,2025-12-06
24,Ali Trabelsi,F,29,1.84,6,Walk,0,1,1,0.87,0.22,0.15,0.56,2025-12-06
25,Nora Trabelsi,F,23,11.55,37,Train,1,1,1,0.38,0.96,0.09,0.55,2025-12-06
26,Omar Zidi,F,19,18.96,69,Walk,0,0,1,0.3,0.57,0.58,0.09,2025-12-06
27,Salah Bouaziz,M,29,15.34,50,Scooter,0,1,1,0.65,0.93,0.88,0.34,2025-12-06
28,Safa BenBey,F,22,25.77,97,Car,1,1,1,0.33,0.58,0.43,0.28,2025-12-06
29,Karim Mezghani,F,18,19.93,66,Bike,0,0,1,0.63,0.48,0.16,0.39,2025-12-06
30,Ines Trabelsi,F,29,5.31,17,Car,0,1,1,0.61,0.31,0.56,0.8,2025-12-06
31,Nora Trabelsi,M,27,2.58,9,Train,0,0,1,0.56,0.61,0.81,0.37,2025-12-06
32,Ines Bouaziz,F,23,19.45,60,Car,1,0,1,0.38,0.14,0.74,0.45,2025-12-06
33,Hatem Kchouk,M,30,1.28,3,Train,0,0,0,0.55,0.9,0.88,0.4,2025-12-06
34,Salah Zidi,M,29,17.78,45,Train,0,0,1,0.6,0.83,0.28,0.09,2025-12-06
35,Salah Kallel,F,26,28.24,102,Train,1,0,1,0.55,0.32,0.19,0.44,2025-12-06
36,Karim Trabelsi,M,18,17.48,59,Scooter,1,1,1,0.44,0.95,0.88,0.2,2025-12-06
37,Raja Kchouk,F,28,11.95,42,Train,0,0,1,0.01,0.83,0.66,0.19,2025-12-06
38,Sami Bouaziz,M,28,19.48,54,Train,0,1,0,0.59,0.67,0.31,0.09,2025-12-06
39,Ali Kallel,M,27,14.02,37,Bike,0,0,0,0.17,0.12,0.74,0.36,2025-12-06
